feature_name,ranking
open,1
high,1
low,1
close,1
return,43
gap,15
body,44
body_abs,19
body_ratio,40
upper_shadow,48
lower_shadow,113
upper_ratio,31
lower_ratio,109
true_range,41
true_range_ratio,9
volume_change,32
price_volume_corr,1
return_mean_5,22
return_std_5,1
return_skew_5,1
return_kurt_5,1
volume_mean_5,1
return_mean_13,1
return_std_13,1
return_skew_13,1
return_kurt_13,1
volume_mean_13,1
return_mean_20,1
return_std_20,1
return_skew_20,1
return_kurt_20,1
volume_mean_20,1
return_lag1,24
rsi_lag1,18
macd_lag1,1
volume_lag1,1
return_lag2,21
rsi_lag2,23
macd_lag2,5
volume_lag2,2
return_lag3,30
rsi_lag3,13
macd_lag3,1
volume_lag3,1
return_lag5,37
rsi_lag5,1
macd_lag5,1
volume_lag5,1
return_lag8,34
rsi_lag8,1
macd_lag8,1
volume_lag8,27
return_lag13,46
rsi_lag13,4
macd_lag13,3
volume_lag13,1
MA_5,1
MA_21,1
MA_55,1
MA_144,1
EMA_5,1
EMA_21,1
EMA_55,1
EMA_144,1
BB_upper,1
BB_middle,1
BB_lower,1
BB_width,1
BB_position,12
HT_TRENDLINE,1
KAMA,1
RSI_5,29
RSI_13,14
RSI_21,8
MACD,11
MACD_signal,1
MACD_hist,1
MACD_diff,1
STOCH_K,1
STOCH_D,1
STOCH_diff,33
STOCHRSI_fastk,42
STOCHRSI_fastd,1
MOM,1
ROC,39
ROCR,26
WILLR,1
ULTOSC,17
AD,1
ADOSC,1
OBV,1
VMA_5,7
VMA_10,1
VMA_20,1
VOLUME_RATIO,1
ATR,1
NATR,1
TRANGE,10
STDDEV,1
VAR,1
ADX,1
ADXR,1
APO,1
PPO,1
PLUS_DI,20
MINUS_DI,1
PLUS_DM,1
MINUS_DM,1
DX,1
HT_DCPERIOD,1
HT_DCPHASE,1
HT_PHASOR_inphase,6
HT_PHASOR_quadrature,28
HT_SINE_sine,1
HT_SINE_leadsine,1
HT_TRENDMODE,60
CDL2CROWS,73
CDL3BLACKCROWS,112
CDL3INSIDE,111
CDL3LINESTRIKE,62
CDL3OUTSIDE,108
CDL3STARSINSOUTH,110
CDL3WHITESOLDIERS,107
CDLABANDONEDBABY,106
CDLADVANCEBLOCK,105
CDLBELTHOLD,104
CDLBREAKAWAY,103
CDLCLOSINGMARUBOZU,102
CDLCONCEALBABYSWALL,101
CDLCOUNTERATTACK,100
CDLDARKCLOUDCOVER,99
CDLDOJI,98
CDLDOJISTAR,97
CDLDRAGONFLYDOJI,96
CDLENGULFING,89
CDLEVENINGDOJISTAR,95
CDLEVENINGSTAR,94
CDLGAPSIDESIDEWHITE,93
CDLGRAVESTONEDOJI,92
CDLHAMMER,91
CDLHANGINGMAN,90
CDLHARAMI,88
CDLHARAMICROSS,87
CDLHIGHWAVE,61
CDLHIKKAKE,86
CDLHIKKAKEMOD,85
CDLHOMINGPIGEON,84
CDLIDENTICAL3CROWS,83
CDLINNECK,82
CDLINVERTEDHAMMER,81
CDLKICKING,80
CDLKICKINGBYLENGTH,79
CDLLADDERBOTTOM,78
CDLLONGLEGGEDDOJI,77
CDLLONGLINE,76
CDLMARUBOZU,75
CDLMATCHINGLOW,74
CDLMATHOLD,72
CDLMORNINGDOJISTAR,71
CDLMORNINGSTAR,70
CDLONNECK,69
CDLPIERCING,67
CDLRICKSHAWMAN,66
CDLRISEFALL3METHODS,68
CDLSEPARATINGLINES,65
CDLSHOOTINGSTAR,64
CDLSHORTLINE,50
CDLSPINNINGTOP,57
CDLSTALLEDPATTERN,59
CDLSTICKSANDWICH,63
CDLTAKURI,56
CDLTASUKIGAP,55
CDLTHRUSTING,51
CDLTRISTAR,53
CDLUNIQUE3RIVER,54
CDLUPSIDEGAP2CROWS,58
CDLXSIDEGAP3METHODS,52
HIGH_LOW_RATIO,38
CLOSE_OPEN_RATIO,35
HIGH_CLOSE_RATIO,36
LOW_CLOSE_RATIO,49
PRICE_CHANGE,45
HIGH_LOW_PCT,16
HIGH_CLOSE_PCT,47
CLOSE_LOW_PCT,25
MA_5_21_RATIO,1
MA_5_21_DIFF,1
MA_21_55_RATIO,1
MA_21_55_DIFF,1
VOLATILITY_RATIO,1
