,Corr
600000,0.781425894116355
600009,0.7288250481606594
600010,0.10543232780173914
600015,0.9382515124699001
600016,0.9469901010025796
600018,0.6609124150867128
600021,-0.4354315787097467
600023,0.9089081999795813
600028,0.6588062696762332
600031,0.19556770486884434
600036,0.8590063530872467
600060,0.7284117172440064
600061,0.812072272258814
600066,-0.6850850325956531
600068,0.8181201905522277
600079,-0.28318548699999824
600085,0.9255023374405813
600089,0.0869114871712793
600104,0.7424643619293352
600109,0.6687366160891293
600115,-0.2019335995392695
600118,-0.5076225351582901
600153,0.8218415415400777
600177,0.7143172043976188
600208,0.28454735751751126
600219,-0.481282229633981
600266,0.4401392945195206
600276,0.8097037741889804
600297,-0.4757667949528059
600332,-0.693135527530808
600406,-0.2339500944533098
600436,0.8340816311135111
600482,-0.41651385994798906
600489,0.1026722302083021
600518,-0.5394496815098382
600519,0.36942089914577464
600528,0.5673154647404741
600535,0.48354722285222596
600606,0.5789618889168424
600637,0.569435279364671
600649,-0.0013150557210885071
600660,-0.64347957546082
600688,-0.15637878613575149
600704,0.7127911067688816
600705,0.6864333825780483
600737,0.24474190247703206
600739,0.67326596835069
600741,-0.41979017882626274
600795,0.6347185964660184
600816,0.31448643353407
600827,-0.5742022229136685
600837,0.9461205441969145
600886,-0.5021704422498141
600895,-0.32091438978299996
600900,0.07274094445499718
600919,0.9423265361585057
600926,0.9128745448688753
600958,0.8655377986661286
600977,0.7038429991110035
600999,0.9426915819955834
601006,0.872355524304105
601009,0.8335611314786174
601018,0.34461656736724894
601099,0.5699870508168936
601117,0.7758586813673207
601166,0.7951770706794722
601169,0.9362646866021135
601186,0.8939045094983137
601198,0.6869575273879721
601211,0.9466160965714844
601229,0.9063491125347223
601238,-0.39976717010815116
601288,0.9001704730416293
601318,0.6017543568961535
601328,0.9432009315148501
601377,0.9330908315170746
601390,0.7185853602079013
601398,0.8671648696678477
601555,0.6833482356101099
601607,-0.47639277935908
601618,-0.48867416576100176
601628,0.3416611614321435
601633,0.008777450893492465
601668,0.9434763995329484
601669,0.6494768979927756
601688,0.8879960947156893
601718,-0.5411638150164799
601727,-0.28962159697883094
601766,-0.2991365735813574
601788,0.9192333592829968
601800,0.8700489681889965
601818,0.9180443041211064
601857,0.9466028343107729
601939,0.901214621581375
601985,0.7686079480551933
601988,0.9251472514359104
601989,0.7564463057332653
601997,0.6992790741033641
601998,0.9040143836682398
603858,-0.3788158638508309
